date,matched_words,Deidentified_paragraph,city
,affordable housing,"While [ORGANIZATION]'s not part of this because they're building a single-family home, [PERSON] and the ORG2 are excited to rezone these properties to be consistent with the neighborhood plan that showed these for you, too, to allow for a mix of housing in this neighborhood, and in particular, housing that can be built as and remain as affordable housing in a neighborhood that has ever-changing demand. We're excited to see that they're going to be doing two duplexes and then the quad here on these southern portions. The one on the far right, which is actually the northernmost lot for FAC0, is actually going to be a single-family home.",south bend
,affordable housing,"DATE0. THE HIGH LEVEL 50 AFFORDABLE THE HIGH LEVEL 50 AFFORDABLE THE HIGH LEVEL 50 [ORGANIZATION] ACROSS 37 HOUSING UNITS ACROSS 37 HOUSING UNITS ACROSS 37 CITY-OWNED PROPERTIES CITY-OWNED PROPERTIES CITY-OWNED PROPERTIES AMIDST THE SINGLE-FAMILY HOMES,  Thank you. I just found the public portion is now closed.",south bend
,homelessness,"So, as we've been navigating through homelessness, I want to turn your attention to this regional comparison between… That's great. Someone was just telling me [ORGANIZATION] that it… I'm going to ask everyone to mute their mics. Mr. [PERSON], you're muted, sir.",south bend
,homeless,"During this time, the homeless shelters were closed, they remained full, the weather amnesty shelter had closed down, and the mayor had provided no alternative options. So while you and I were out celebrating [ORGANIZATION] and honoring our nation's hero, the city was making plans to confiscate all the tents and belongings of the homeless who were residing on that property. The eviction was incredibly cruel, in my opinion, heartless.",south bend
,homeless,"We are a corporation of over 20 [ORGANIZATION] businesses. We are seeking fairness for the truly homeless in our community.  as well as greater fiscal responsibility from our local government. And lastly, fairness and freedom for all media platforms to share and report on the actions of our government.",south bend
,affordable housing,"So I can't say that there's a definitive answer. plan in [STREET] for the encampments until the affordable units are online. And as we've heard [TIME], there's multiple affordable housing developments coming, but those take [ORGANIZATION].",south bend
,homelessness,And I really hope that these things will be implemented because I think we have the willpower to be able to end homelessness in [ORGANIZATION]. I think we can get it done. So thank you very much.,south bend
,affordable housing,"I'm always happy to support anything we can do for affordable housing. We'll be keeping our fingers crossed and saying prayers going forward, hoping this works. We get the blessing from the feds on it.",south bend
,homeless,"We realized that there, you know, that there are a lot of activities that go on around encampments and around our homeless individuals. And so if we can better understand, if we can better understand that arena, I think we would be better off in being able to protect our neighbors here in the city. We also want to continue to maintain and monitor chemical toilets, so porta-potties.",south bend
,affordable housing,And the three blots that the [ORGANIZATION] own will be community land trust homes and will be preserved for affordable housing for the foreseeable future. And so we appreciate your consideration of this so that it will –  improve the housing stock for individuals who need the housing. Thank you.,south bend
,houseless,"At this time, our invocation will be given by [ORGANIZATION], At-Large Councilwoman. Thank you, President [PERSON]. Loving God, protector of all, we ask you to watch over our city and to watch the residents of our city, our children, our seniors, those who go hungry, the houseless, the strangers and immigrants in our midst, and those who are alone, creator of good,  Thank you for the men and women who serve our city in various ways, our staff members, public safety officers, those in leadership roles.",south bend
,homeless,"I am here [TIME] as the president of [ORGANIZATION]. We're a corporation representing over 25 [ORGANIZATION] businesses and still growing. We are seeking fairness for the truly homeless in our community, as well as greater fiscal responsibility from our government.",south bend
,homelessness,"And that is going to be a major blow to our most vulnerable population across the state, including the homelessness. So and also mental health services have been cut. And I'm wondering if we are looking at ways and means to try to provide services for mental health and substance abuse that have been lacking.",south bend
,affordable housing,"And hopefully this will help to bring some hope to developers so that we can take care of the infill and be able to start building affordable housing because we need it. Thank you. PERSON0, I forgot that you were online.",south bend
,affordable housing,"There will be future phases. The foundations you see in the northern end of this photo are relatively deep, and so that will take a second phase to remove those and then remove the larger bottling house that you see on the right-hand side of this photo. FAC0 and FAC1, this is another affordable housing project that is paired with a market rate project.",south bend
,homelessness,"And so that's given us a great perspective on truly what's happening at ground level. I'm not sure if that answers your question, [PERSON]. A little bit, but the recommendations and the ideas here seem to do a lot to assist people who are currently experiencing homelessness.",south bend
,homeless,"So how are we going to continue to offer the services, [INSTITUTION] included?  to all of these people who don't have anything when we don't have anything coming in and so there's a lot more to that discussion but i would just ask those two right now because uh i think we're you know in a crunch for time right now",south bend
,homeless; homelessness,"So, uh,  the the bill [DATE] will jump start that [TIME] in [ORGANIZATION] and then [LOCATION] will be an additional nearly four million dollars we're expanding the successes of the [ORGANIZATION] to continue to to invest in FAC0 and FAC1 but also expanding that to other neighborhood corridors a direct response to [ORGANIZATION] priorities and opening up that to to FAC2 and investing in some of the neighborhood amenities  that make those business corridors great. And then exploring the startup of a land bank to really figure out how we can address not just dilapidated houses, but vacant lots that are in the community and looking to partner with a community partner on a land bank.  on the the second priority of safe community uh lots and lots of conversation around violence reduction and and uh recruiting and retention at [ORGANIZATION] um so ensuring the safety of residents by providing necessary resources reviewing the data on gvi and violent crime reduction um really looking at violence sort of from a holistic perspective and then also looking at our homeless residents and figuring out how we can really implement have  uh document and implement a a sustainable plan for addressing homelessness um and so the [LOCATION] budget continues to and expands actually investment in violence intervention programs through ORG2 both on the operational level by adding two staff members by continuing the investment in the save team and can and actually expanding the amount of resources available for violence reduction initiatives through the arp the total of all of those being about 1.8 million  um expanding investment into public safety technology to help the [ORGANIZATION] provide new and innovative ways and [ORGANIZATION] [INSTITUTION] provide new and innovative ways to keep to keep our residents safe and then on homelessness um having a really actually a historic investment in homelessness we talked about that in the context of the [ORGANIZATION] budget that it was a historic investment in homelessness we're continuing that in the [LOCATION] budget and then  adding to it with proposed partnerships with the county on homelessness and mental health initiatives to take care of everyone in the community. On the infrastructure side, as the mayor said, I don't think that there's been this much money available for infrastructure in [DATE].",south bend
,affordable housing,"But that piece was not, I don't know all that went into that, but I think where we can get scattered site supportive housing units, I mean, the goal is to decentralize.  a lot of this and so that there's not any one built up issue or compounding issues by having you know more density in terms of these individuals  We're also working with [ORGANIZATION], who have agreed to offer at least five permanent supportive housing units. So that's all recent work to try to get some of these long-term solutions moving and get more permanent shelter options for our unsheltered population. At the same time, the city entered into arrangements that, again, were unprecedented with the formation of the FAC0 building over there by [PERSON] as a weather amnesty site.",south bend
,homeless,"We are a corporation representing over 20 [ORGANIZATION] businesses. We are seeking fairness for the truly homeless in our community.  as well as greater fiscal responsibility from our local government. And lastly, fairness and freedom for all media platforms to share and report on the actions of our government.",south bend
,homeless,"And so that leads to about being able to house about 30 to 50 at the [ORGANIZATION] building, which is administered by [ORGANIZATION], and then 25 sheltered at ORG2. And other organizations are stepping up [ORGANIZATION] to provide additional options, given the pandemic and the protocols that are required. Then the county undertook a motels program to build off of the program established by ORG3 anonymous donors.",south bend
,homeless,"You mentioned in your opening that you have a coordinator for homeless services. I wonder if I could get their name and their hire date to know who that person is, because I've been on all of the [ORGANIZATION] homeless community meetings. and they are not aware of this coordinator.",south bend
,affordable housing,"they discussed  you know, affordable housing issue of this or this was the broad discussion that was had and then that question was answered by whomever. Or, you know, citizen member [ORGANIZATION] asked a question on this and that was answered by whomever answered the question. Thank you.",south bend
,affordable housing,"Thank you. The revitalization was great. You know, when neighborhoods and others work collaboratively together, you see all the results, and we know that there is such a need for affordable housing, be it duplexes or apartments within our community.",south bend
,homeless,"And in particular, there is an [ORGANIZATION] emergency solutions grant, which is federal funding, and it funds five shelters, [ORGANIZATION], [PERSON], ORG2, [PERSON], and [LOCATION]. It doesn't fund the whole bit. They get other federal funding outside of this amount, as well as fundraising and other funding sources, but we do direct the funds that we manage as a city toward those.  those entities.",south bend
,homeless; homelessness,"If you recall, we appropriated just under $6 million for county partnerships on mental health and homelessness. The county has also moved forward with some support for [ORGANIZATION],  and ORG1. And so those are things we're taking a look at when we talk about county partnerships.",south bend
,homelessness,"But the subcommittee groups were much shorter, probably [DATE] for each subcommittee. Next slide, please. So within the culmination of the subcommittees and the mayor's implementation group, we came together to address homelessness and to recognize the situation.",south bend
,homeless,"[PERSON], [ORGANIZATION] decided that they would not overturn a ruling in ORG1 that basically ruled it's a violation of a homeless person's basic civil rights to evict them from public property when there are not enough low-barrier shelter beds available to meet the needs of the [STREET] homeless. ORG2 ruled that this type of eviction violates the Eighth Amendment of the Constitution, is considered cruel and unusual punishment. Okay.",south bend
,affordable housing,"It just appears that now that we're running at this affordable housing thing, the wins that we're trying to achieve are wins through people who are connected to the local government and the heads of the local government. I'm not going to say that we shouldn't do these things, right? But when they're being lined up the [STREET] they are, one can only question where's the stuff coming from, especially when the dates of building are well after the primary all into [ORGANIZATION].",south bend
,homelessness,"We're not going to fix it, but we sure would like to be part of a team of care that spans more than politicians, government employees, and grant-financed care organizations to include faith leaders and advocates so that the effects of homelessness on our most vulnerable population may be lessened. Thank you. Thank you, sir.",south bend
,homeless,"Where in terms of your care of the homeless that use the libraries for [DATE] centers, if you will. Yes. Thank you so much.",south bend
,homeless,"Thank you. Thank you, Vice President [PERSON]. I'd like to thank you for coming before the council and sharing information not only in regards to [PERSON] but the situation with our most vulnerable population and that's the homeless  I agree.",south bend
,affordable housing,"Back in [ORGANIZATION], I was part of a group that began the [ORGANIZATION], and one of the things that we wanted to do was to preserve the neighborhood and preserve affordable housing in the neighborhood. And as things have morphed over [LOCATION], it's become more challenging to do that. But we have instituted what I think is a very exciting component of our plan, and that is a community land trust.",south bend
,homeless; homelessness,"My question is more, is the city taking a look and trying to identify why people are homeless and to try to implement solutions to prevent homelessness other than actually providing housing? Yeah, so I think the creation of the implementation group was definitely speaking to prevention and intervention as well. And so those conversations have been had within our conversations in [ORGANIZATION] and [LOCATION].",south bend
,homeless,"But we'll know how this opening is going in relative short order. So that's where we are and we continue to work with our health officials and [ORGANIZATION] and our partners in the county to increase testing, contact tracing, and the pieces that are going to help us contain further outbreaks without having to resort to stay at home or more extreme separation or isolation measures. I know the issue of our chronic homeless population has become front and center, especially [ORGANIZATION].",south bend
,homeless,And it makes the job for the service providers and those of us that try to serve the homeless in our community a little bit easier to know that there are a number of folks that are being employed and that you obviously provide a great deal of care for these individuals. And they don't need to become part of that statistic in our community. And I want to thank you for that.,south bend
,homeless,"When we got the one the first time, they were the only ones really willing to step forward. And now there's no hotel that we have found or motel that has been willing to step forward. And so the approach that the health officials have been pursuing is they  They believe in conversations with the shelters, [ORGANIZATION], that they would be able to manage and figure out quarantine for their populations.",south bend
,homelessness,"So we'll look to come up with a financing plan with all of you and which projects are of highest priority and hope to move that forward [ORGANIZATION]. [ORGANIZATION] AND MENTAL HEALTH. AGAIN, STARTING WITH [ORGANIZATION], I KNOW THE COUNTY TEAM AND THE SHERIFF REDMAN AND [LOCATION].",south bend
,homeless,"[PERSON], will you please read Resolution 20-41, please? Yes. 20-41, a resolution of [ORGANIZATION], [ORGANIZATION], acknowledging and thanking Pastor [PERSON] for his kindness and advocacy for [PERSON] homeless. And I do know that we have a sponsor that sponsors ORG1 member PERSON2.",south bend
,homelessness,Just want to thank [PERSON] and Mrs. [PERSON] for your service and your work and stepping up and helping in the city's time of need. And there's a lot of work that we still have yet to do. And just appreciate your service and what you have done for the homelessness in our community.,south bend
11_16_2015,homeless,"For the petitions and communications, I'll let them go. [ORGANIZATION], finance director regarding the DATE0 fee schedule. A random from [LOCATION], legal director regarding the [STREET] referendum for [DATE] for the extension of non-homeless sales tax for infrastructure.",rockford
01_17_2023,homelessness,The fourth cause is despair. Hopelessness and despair is the mother of crime. The fifth cause is homelessness.,rockford
08_19_2024,homeless,"Now that my sentence is completed, the prison sentence that is, I am now moving ahead with [ORGANIZATION]. When this is accomplished, I will get back to the best job I ever had in the world, working for homeless vets for free. Until that time, I will continue my crusade to have people replace and remove these torn, disrespectful American flags.",rockford
04_17_2023,homeless,"Like most people, I had no comprehension of the magnitude of the problem of homeless abandonment. until I saw men, women, and children, yes children, who live on the streets for [ORGANIZATION]. The decay of precious life had a life of its own and the ideal survivor had a shallow success rate.",rockford
05_20_2024,affordable housing,"People are drawn to our affordable housing stock, our growing industries and job opportunities, as well as our improving quality of life. So what has changed? We're, simply put, revitalizing our neighborhoods, and we're investing in our people and our current housing stock.",rockford
04_20_2015,homeless,"And you know, when I was just wanted a homeless one and I sat here through the meeting here [TIME] and I know my check-in time, I have to be in [DATE] at [ORGANIZATION].",rockford
04_06_2015,homeless,"Some don't even have family here in the area. And the [INSTITUTION] used for our warming center is only for [ORGANIZATION]. homeless people living under the bridges, sleeping, some sleeping in the churches that are being used for warming centers.",rockford
09_05_2017,homeless,"We have half our kids. I shouldn't say it but I've got to say it, that's homeless, that live in fairgrounds, that live with relatives, that go into the school system, that have a hard time being in school, they need to be in school.",rockford
02_19_2019,homeless,"I want to thank director [PERSON] and his staff I'm a little late in reporting this but I am very pleased with director [PERSON] and his staff for helping a homeless man  find a [STREET] to stay. He was, I shouldn't have said homeless, but he had moved here from the [ORGANIZATION] area to be with his daughter that had moved here from [ORGANIZATION] and his grandkids. And he was staying in a hotel and his funding was getting low.",rockford
06_19_2017,homeless,A [ORGANIZATION] GPE0 [ORGANIZATION] report found the poverty rate for children raised in female-headed households was 45.8 percent while the rate for children raised in married couple households was 9.5 percent. homeless and runaway children are fatherless. Four times more likely to be raised in poverty and without the guidance of a father.,rockford
12_19_2022,homeless,"Majority of them have incomes less than $26,000 per year, and I'm not sure how they can factor a basic comfortable living in those means. [ORGANIZATION] are 50% more likely to become homeless than other [ORGANIZATION]ns due to poverty, lack of support networks, and dismissal of living conditions over crowded substandard housing. The [ORGANIZATION] has estimated that on any given night, there were 76 veterans can be found laying on the streets of [ORGANIZATION].",rockford
05_16_2016,homelessness,"but they stuck with us, they got all the permissions they needed, and we would not have made the functional end of veteran homelessness in [ORGANIZATION] without them, so thank you. PERSON0? Well, thank you for this honor.",rockford
05_03_2021,homeless,"the grant will provide awards for approved clients weatherizations work order client clients energy use education contractors staff training payroll and administration the grants in the amount of 576 824 and does not require a cost match the grant term is from [ORGANIZATION] to [LOCATION]. Number 13, the committee recommends approval of the renewal of [ORGANIZATION]. The grant award will provide funds for approved clients, landlord, electric and or heating bills, clients, budget, education, staff training, payroll and administration.",rockford
02_20_2024,unhoused,"Number 19 the committee recommends approval and acceptance of the [ORGANIZATION] burn justice assistance grant program grant awarded the amount of $189,[ADDRESS] these [TIME] before you We have 20 items before us is there any discussion on those 20 items clerk will you please call the roll PERSON0, I'm sorry to bird frost [PERSON] GPE2 various I [ORGANIZATION].",rockford
09_19_2022,panhandler,"You don't mind so then if a panhandler is hit by a car that it's just like a Anyone getting hit and the driver is going to be responsible for that Accident even though the panel is on the [STREET] shouldn't be industry. Is that is that the [STREET] it's going to work? So I IT DOESN'T MATTER WHAT YOUR PROFESSION IS, IF YOU GET IT BY A [ORGANIZATION], IF THERE'S A [ORGANIZATION] WHO IS A CITIZEN WALKING, CERTAINLY IF THE [ORGANIZATION] IS AT FAULT, THEN IF THE [ORGANIZATION] IS NOT AT FAULT, THEN WHETHER YOU'RE A PAIN HANDLER OR SOMEONE ELSE SHOULD NOT BE AN ISSUE HERE.",rockford
03_07_2016,homeless,"We pray for those people in our community [TIME] who are homeless or hungry. We pray for those people who will experience unexpected and sudden tragedy. We pray for our firefighters and law enforcement officers on the roads and in the streets waiting, ready to respond.",rockford
04_17_2023,homeless; homelessness,"It does not require a cost match, and it is from [ORGANIZATION] to [LOCATION]. It will provide funds for one housing advocate who will work directly with the data of our homeless population, ensuring timeliness, accuracy, and consistency with direct goal of meeting our ending homelessness. Number 14, the committee recommends approval and acceptance of [ORGANIZATION] [PERSON] in the amount of $1 million.",rockford
11_19_2018,homelessness,I'm getting to travel to various cities to see how they handle homelessness And their low-income housing and I just returned [ORGANIZATION] this time from [ORGANIZATION] And I have to say just like when I came home from [PERSON].,rockford
10_04_2021,homelessness,"I cite a congresswoman by the name of [ORGANIZATION], a black woman who's chairman of [ORGANIZATION], whose efforts in her district should be instructive  of all of the black politicians in [ORGANIZATION] and what enlightened black politicians do. She helped get $30 million for a $225 million revitalization project of [ORGANIZATION], [ORGANIZATION]'s [ORGANIZATION], her district, $3 million in federal funds to help Central [ORGANIZATION] youth at risk of homelessness and other bad situations. No politician in this community comes close to even suggesting such financial support for [ORGANIZATION].",rockford
08_31_2015,homelessness,Enough money to lower the unemployment rate by putting people to work. Enough money to eliminate homelessness in [ORGANIZATION] by putting people in the home. Enough money to eliminate poverty in [ORGANIZATION].,rockford
11_16_2015,homeless,"We're close, hopefully, to getting  same page with some of our counterparts over in the county and i think that's a really important first step so that we can help review and enjoy the presentation between the city and the county on the next steps but i appreciate you bringing up the topic it is an absolutely critical conversation thank you i was given this by profit use of is the one where speaker here is going to buy now a little quickly regarding about homeless and  and the money that's being withheld from groups that desperately needed [ORGANIZATION] community to put throughout.",rockford
11_16_2015,homeless; homelessness,I know that all the aldermen and all the women were handed some information. What I'm talking about [TIME] is youth homelessness. This is [ORGANIZATION].,rockford
06_15_2015,homeless,"And as well as feeding them, they also clothe them. I can remember in the state of the city's address, one of the things that Your [PERSON] pointed out is there would be no more homeless in this community. This is an organization that I think that we could definitely partner with to help accomplish those needs.",rockford
11_16_2015,homelessness,"We also appreciate the support you give us. One of the things we've signed on to is [ORGANIZATION] effort, and we can say we've made great strides in eliminating veterans' homelessness for [ORGANIZATION], and we've also made some progress on eliminating chronic homelessness by the end of [ORGANIZATION]. So thank you for your ongoing support, because it really is making a difference in our community.",rockford
04_04_2022,homeless; homelessness,number nine the committee recommends approval of the award of non-competitive contract for mental health counseling services to carry counseling of [ORGANIZATION] for an estimated amount of twenty six thousand dollars based on unit pricing the services will be provided to head start children and families at FAC0 as well as other sites as needed the contract creation is [ORGANIZATION] with four optional extensions the funding source is the health and human services operating budget and number [ADDRESS] these 10 matters before you  thank you so we have uh 10 items before us is there any discussion on these 10 items clerk will you please call the roll [ORGANIZATION] tomb bird frost terena printy wilkins hoffman rose beach quinones PERSON1 mcneely bonnie 14 ice excellent so now we're at new business and we'll get to have this conversation all over again ORG1 uh alderman [PERSON] you.,rockford
03_07_2016,homeless,"Another thing is, as far as [ORGANIZATION] I've seen, and this is totally unrehensible,  [PERSON] at the city bus stop, there's two fellows walking along, okay, and they're selling cigarettes at a higher price to the homeless people because they don't have cigarettes because maybe mental illness or whatever, they can't handle it so they smoke up their cigarettes or give their money, whatever [STREET], okay? But they're selling them at the bus stop. Now wait [TIME], there's city licenses required for selling tobacco, liquor, etc.",rockford
09_16_2019,homeless,"They gave $5,000 to [ORGANIZATION], the homeless. Um, just coming into this community, they saw a need and they addressed that need. So I want to personally appreciate them being partners in wanting to be partners of this community and wanting to expand their generosity and work in the community.",rockford
09_16_2024,homeless,"I work with alcoholics and drug addicts. I have a couple homeless fellows living in my house, and that's all I do. During [ORGANIZATION], [ORGANIZATION] experienced almost record rainfall, which resulted in many properties in my neighborhood of [ORGANIZATION] being flooded.",rockford
12_06_2021,affordable housing,"But that was part of my point. It all sounds exactly the same. It's all is the same stuff said over and over again in a different package and this is what I'm driving at and in our city You know, we talk about affordable housing.",rockford
08_01_2016,affordable housing,"Thank you. Next on our agenda, we have a presentation from the law firm of [ORGANIZATION] to update the council on work performed as outside council for the city of [ORGANIZATION] involving our housing, affordable housing issues. [ORGANIZATION], would you like to do the honors, get us started?",rockford
08_03_2015,homeless,"I asked if this person was a veteran. When the answer I was expecting was revealed, I also announced, it takes one to know one. And [TIME], I was elected to represent the homeless veterans with their issues.",rockford
03_06_2023,homeless,"We have three items. Number one, memorandum from [ORGANIZATION], [ORGANIZATION], regarding the acceptance of the amended [ORGANIZATION] Employment Barrier Reduction Pilot [PERSON], referred to ORG2. Item number two, memorandum from [ORGANIZATION], [ORGANIZATION], regarding the acceptance of amended ORG3 Homeless Prevention [PERSON], referred to ORG2.",rockford
11_16_2015,homelessness,"I have one proclamation [TIME], one special presentation that we'll be doing. The proclamation is regarding [ORGANIZATION]. I invite PERSON0 from [ORGANIZATION], who is the co-chair of [ORGANIZATION], our coalition on homelessness, to please come forward and accept the proclamation.",rockford
11_07_2016,homeless; homelessness,"Whereas [ORGANIZATION] and [ORGANIZATION] are sponsoring [ORGANIZATION]. whereas the purpose of ORG2 is to educate the public about the many reasons people are hungry and homeless, and to encourage support for homeless assistance service providers, as well as community service opportunities for students and school service organizations. Now, therefore, I, [ORGANIZATION], as Mayor of [ORGANIZATION], do hereby proclaim [ORGANIZATION] to be [LOCATION], and we encourage citizens to recognize that many people do not have housing and need support from our community.",rockford
11_16_2015,homeless,"And I'm having a problem with the alcoholics, the homeless, and the liquor store. And my school, [ORGANIZATION], if you would leave where I live, I would be able to get  I think you would like your children to look what I'm looking now and keep school with the liquor store and all the men running in the alley, my alley. I have to do all the cleaning around my house and everything.",rockford
08_01_2022,homelessness,The eighth cause is financial problems. The ninth cause is homelessness. The tenth cause is health problems.,rockford
06_10_2019,homeless,"I find it a little bit disturbing in the state of [ORGANIZATION] that we just passed a budget with no, nothing for mental health. Mental, as long as the folks with some, let's face it, many of the homeless suffer from schizophrenia. It's not their fault and there's some mental challenges that they have and it is a disease.",rockford
03_04_2019,homelessness,"A [ORGANIZATION] GPE0 [ORGANIZATION] report  found the poverty rate for children raised in female-headed households was 45.8%, while the rate for children raised in married couples households was 9.5%. 90% of homelessness, runaway children are four times more likely to be raised in poverty and without the guidance of a father. More children abuse alcohol and drugs.",rockford
08_21_2023,affordable housing,"website and there is I guess they're as good as [ORGANIZATION] and this is concerning the city of [ORGANIZATION] we bet have repeated I've had and others repeated calls for us to develop some kind of comprehensive approach to how this works we had a [ORGANIZATION] representative here [LOCATION] and I asked him several questions when he stood here As to what is the ratio of public housing units per capita or subsidized units per capita that is sustainable in a given demographic? I also ask them, what is the city's per household or per capita income that is required to sustain a number of affordable housing units within a demographic? I asked...",rockford
05_20_2024,homeless,"When the corona hit, she was the one that notified the police when two felons was loose. The other individual who opened up his house for the homeless people, y'all went after him. Instead of going after him, that family were helping homeless people.",rockford
10_05_2015,affordable housing,"DATE0 from [TIME], there will be a meeting at FAC0 at [ADDRESS], and they will be talking about [ORGANIZATION] featuring. housing market condition, construction activity, local trends updating on housing, neighborhood planning, and open housing. [PERSON], this coming [PERSON], we'll be having a meeting at [ORGANIZATION] on FAC1, right across from [ORGANIZATION].",rockford
08_05_2024,affordable housing,"Plus, there's a newer fire station in that same area that will support the infrastructure that's needed there. Ideally, we need 25 to 30 more projects like the FAC0 facility, FAC1, and the [ORGANIZATION] complex to meet the housing needs of our community. More affordable housing and upscale housing will be key to [ORGANIZATION]'s future success.",rockford
08_03_2015,homeless,"The lesson is, if you are not somewhat challenged in representing people and have no idea what their needs are, you have no business making a power play. DATE0, I spoke to the full [ORGANIZATION] to continue collecting support for [ORGANIZATION] area's homeless veterans with good success. And I can't forget all the support and requests from the union heads that we had a meeting with [LOCATION].",rockford
11_19_2018,homeless,"I was so glad to be back and  We get so much negative comments, but we are really a great city. As I said when I came back from [ORGANIZATION], they had 175,000 homeless [TIME]. When I came back from [PERSON], again, I was so impressed with how we're handling the issue.",rockford
03_20_2023,homelessness,"The additional grant award will provide funds for [ORGANIZATION], [PERSON], ORG2 recipients for supportive service expenses, including but not limited to expenses for homelessness prevention, utilities, transportation, gas, uniforms, tools, equipment, and similar purposed expenses as designated by the [ORGANIZATION]. The amendment for additional funds is the amount of $33,750. I [STREET] these eight matters before you.",rockford
10_03_2016,homelessness,"No PERSON0 GPE0 [PERSON] 7 ayes 5 noes So the motion carries so the amended item is up for further discussion  I just want to make some final comments if I can. There were some comments, a number of them that are in the same general area, but just as a point of information to the suggestion about the relationship between this and our city operations, I can tell you very directly that both police, fire, as well as human services are directly involved with the interaction of the triage center and our very notable work in the continuum of care related to homelessness.",rockford
06_03_2019,homeless,"The imprisonment of people unable to pay debt resulting from the increase of fines and fees, mass incarceration of poor and neglected minorities for nonviolence and the barriers to employment, housing and reentry into society. Once they have served their sentence, excessive punishment  children that creates a school to prison pipeline, increases in arrests of homeless people, and people feeding the homeless, and criminalizing life-sustaining activities such as sleeping in public when no shelter is available, and confiscate what little resources they have through civil assessment  True followers of [ORGANIZATION] should stand up and speak up and say we are tired of this garbage, the [STREET] you are treating poor people and homeless people, and we are not going to put up with this garbage anymore. Thank you for allowing me to speak.",rockford
10_21_2019,homeless,"[ORGANIZATION] holds a total of 113,952 abandoned homeless individuals. This represents 20% of all homeless people in [PERSON]. Approximately 15,179 are veterans.",rockford
04_04_2022,affordable housing,"We have been able to house over 490 children in safe, affordable housing. And [ORGANIZATION], because of your commitment to affordable housing,  We're going to be able to rehab and repair homes for so many families in our community. Thank you for supporting our mission and our ministry.",rockford
07_18_2016,homelessness,"And as we've stabilized the growth around downtown, the restaurants, other things, people feeling comfortable walking around, you know, we're not dealing with issues of any kind of concern with security or homelessness. All those things just feed into each other. The other challenge I just want to kind of leave you with, if it's okay, [ORGANIZATION], is just, you know, we are now, I believe, in [ORGANIZATION] bonds.",rockford
11_26_2024,homeless,"But they continuously ask me about the homeless . And they're quite concerned . So, Dr. [PERSON] , when you sent me the informati on, that information has to get out to the public.",scranton
07_05_2023,homeless,Those people are not throw away people just because they are homeless . And I want to know. I've asked before.,scranton
04_09_2024,homeless,"How many shelters are there for the homeless people in the city, night shelter not day shelters . MR. PERSON0: Well, it depends on what you consider night shelters.",scranton
03_26_2024,affordable housing,"Let them buy their own. You know, the town has one of our fire engines and they get free trash removal and there's hardly any taxes. And [ORGANIZATION] somebody was here about affordable housing .",scranton
07_05_2023,homeless,"Now there is an electric cord running down on FAC0 from FAC1 -- and I'll show you the picture soon running into a homeless camp with the electricity out. Two people have been burned over [ORGANIZATION] with the propane tanks, one person was stabbed [PERSON] and when the police went to the camp to find the other individual , propane tanks were exploded inside the tents before the police were able to go in or the [INSTITUTION] to address it. This is an issue.",scranton
