date,matched_words,Deidentified_paragraph
,homeless,"But on this occasion, the city of [ORGANIZATION] would not allow our donated porta potties or hand sanitation stations to be on the property. So these homeless folks had no toilet to use for [ORGANIZATION].  which is a health hazard in and of itself, even if we were not in a pandemic. I heard a lot of people congratulating the police [PERSON], but the police have force, they have weapons, and they have the power of color and government."
,homeless,"The only people helping the homeless in tent city number one and tent city number two are residents, unpaid volunteers, community members, activists, and church members. We've had not one person from the city visit tent city. We've had nobody from the local health department."
,homeless; homelessness,I am the community advocate at [ORGANIZATION] and work with people who are homeless or semi-homeless [ORGANIZATION] [DATE]. I want to applaud the council for inviting Mayor [PERSON] and I think the mayor gave a good summary of where the city's been over [LOCATION] with regard to homelessness. I applaud the quick and progressive stance that the mayor took in relation to the isolation center and his use of funds for that from funds that are available nationally and from the state.
,homelessness,"I also applaud the fact that he is not trying to kick this can down the [STREET]. Clearly, from the homelessness task force [ORGANIZATION], there are key recommendations that haven't been fulfilled, and rather than continuing to just  put this off, he is willing to take some emergency measures, again using funds that are going to be made available, in order to provide for housing for people, as [ORGANIZATION] said, is urgently needed for the sake of health and safety for the people involved and for our community. I'd like to address some of the comments made by council members."
,unhoused,"Member [PERSON] said that the timing of the mayor's interest in doing this is horrible, and I would simply say that it's especially horrible timing for people who are unhoused. So frankly, there is a lot of urgency around providing housing. PERSON1,  [ORGANIZATION] Member [PERSON] said that he's concerned about the cost to the city."
,homeless,"Again, there's $2 million in [ORGANIZATION] money and emergency solutions grant monies that the city can use for this. I applaud [ORGANIZATION] Member [PERSON] for her advocating for a homeless services coordinator and a better plan than simply carrying out."
,homeless,"So I work as a client success manager for a company that helps maintain homeless management information systems. I'm also on the board of [ORGANIZATION], and my ethical duty as a citizen of [ORGANIZATION] requires me to speak out about the city's response to the homeless. So we know that eviction signs were posted on the city lot on [ORGANIZATION] [TIME], giving the homeless [LOCATION] to find alternative housing."
,homeless,"During this time, the homeless shelters were closed, they remained full, the weather amnesty shelter had closed down, and the mayor had provided no alternative options. So while you and I were out celebrating [ORGANIZATION] and honoring our nation's hero, the city was making plans to confiscate all the tents and belongings of the homeless who were residing on that property. The eviction was incredibly cruel, in my opinion, heartless."
,homeless,"It was also very unusual for a town to insist that homeless people are violating the law by the mere fact of them not being able to afford housing. It's also extremely shameful and shady that the mayor decided to perform this action [TIME] ahead of the city council meeting so that nobody from the public could even voice their concerns with evicting the homeless during a pandemic. It is not the homeless' fault that our economy is so bad, and it's not their fault that the city has failed to provide enough housing first beds for the chronically homeless."
,homeless,"[PERSON], [ORGANIZATION] decided that they would not overturn a ruling in ORG1 that basically ruled it's a violation of a homeless person's basic civil rights to evict them from public property when there are not enough low-barrier shelter beds available to meet the needs of the [STREET] homeless. ORG2 ruled that this type of eviction violates the Eighth Amendment of the Constitution, is considered cruel and unusual punishment. Okay."
,homeless,"Now, I'm aware that [ORGANIZATION] does not cover [ORGANIZATION], but the [ORGANIZATION] decision not to hear the case means that they see no reason that the ruling was incorrect. By using such cruel and unusual punishment against the homeless here in [PERSON], the city has opened itself up to a lawsuit that they would surely lose. The only reason that the city took advantage of the homeless and treated them so cruelly is because the city knows that the homeless have no resources to fight this illegal overreach of the city and the police."
,homeless,The mayor and the city and [ORGANIZATION] all owe the homeless a major apology. and we need to work to make this right. [ORGANIZATION] must reopen the amnesty shelter until such time that the city establishes the low barrier gateway center for the homeless as was recommended.
,homeless,"So I also want to touch bases on the homeless issue [ORGANIZATION] and what happened. Unfortunately, three people did end up getting arrested. Although most of the officers that were there handled themselves very professionally, there was still some, I would call it disrespect to some of the citizens by certain individuals and officers."
,homeless,"Both the residents and the advocates were justifiably upset with the [STREET] the eviction process occurred, concerning the fact that it was the general feeling that the mayor had endorsed the gathering at the location. Advocates and residents alike feel betrayed by the mayor. The [INSTITUTION] is bearing the brunt of both the mayor's and maybe to a lesser extent, the council's ineffective leadership in addressing the problem of there being no home for the homeless."
,homeless; homelessness,And these homeless are some of the constituents that you are elected to be for. Thank you. Perhaps the arrogant will fix homelessness mantra that has become a campaign cry over [ORGANIZATION] in [ORGANIZATION] that ignores the complexity of the factors that lead to homelessness and envisions homelessness fixed when those with homes don't have to look at them in time to be replaced with homes.
,homelessness,"We're not going to fix it, but we sure would like to be part of a team of care that spans more than politicians, government employees, and grant-financed care organizations to include faith leaders and advocates so that the effects of homelessness on our most vulnerable population may be lessened. Thank you. Thank you, sir."
,homeless,"I'm sorry, it's one of those days, violently on the seas and the air and the foreign shores to preserve our heritage of freedom and let us reconsecrate ourselves to the task of promoting and enduring peace so that our efforts should not be wasted.  have been in vain and whereas locally get wet for a vet incorporated embodies the honor due to veterans in its mission statement we work with all you to benefit the community by helping local veterans who have fought so vigorously for our freedom and whereas since [ORGANIZATION] get wet for a vet has donated  Tens of thousands of dollars to veteran-oriented organizations such as [ORGANIZATION], [PERSON], ORG2, [ORGANIZATION], [ORGANIZATION], [LOCATION], [PERSON], [ORGANIZATION], [ORGANIZATION] ORG6, ORG7, [ORGANIZATION], 14... That's three in ORG9 Chapter 118. And whereas it read for a vet is currently involved in the planning of the construction of tiny homes, villages for local veterans."
,homeless,"[ORGANIZATION] mentioned the construction of [ORGANIZATION], which will be the state of [PERSON]'s first and the fourth in the nation –  [ORGANIZATION] house veteran village for homeless veterans. That's something that we just cannot. But our reach goes a long [STREET]."
,homeless,"We help dozens of veterans DATE0 from anything from household furnishings to mortgage payments, utility payments, vehicles. The list goes on and on. Along with [ORGANIZATION], we're working with [ORGANIZATION], where we're going to be putting up a building here within hopefully [LOCATION] to where we can have a collection point for furniture and household items for homeless veterans."
,affordable housing,"DATE0, I would be out of town and Vice President [PERSON] would be in the chair, but also the dates for the [LOCATION] council meetings will be available and that the council will have opportunity to see those dates, after which they will be posted on our website.  is there any other new business councilman [PERSON] yeah i just want to invite everyone out to um another town hall meeting that we're having that i'm having and i'm hosting this won't be at FAC0 on FAC1 DATE2 from six to eight we're still talking about affordable housing we'll have a uh  A panel full of experts, actually, along with some developers as well as some contractors."
,homeless,"FAC0 and the naming of the four [ORGANIZATION] homeless [ORGANIZATION], a ORG2 minor league baseball team. Whereas and since [ORGANIZATION], [LOCATION] has officially recognized by the federal government as DATE2. And the [ORGANIZATION] Code [DATE] officially designates DATE2 as a legal holiday for the state of [ORGANIZATION]."
,homeless,"Yes, thank you. It's just a question I'm throwing out to my colleagues. I'm getting phone calls, emails about the homeless  [LOCATION] project over in [ORGANIZATION]'s district."
,homeless,"We'll go directly to the reports from the city offices. At this time, we'll have an update on [ORGANIZATION] by [ORGANIZATION], who is Deputy Chief of Staff. after his presentation the council members will have opportunity to ask two questions in regards to the presentation the last time we had update from the city officers i started with the first second and third district representatives first  I would just go in the opposite at this time."
,homeless,"I'll start with the at-large council members and move all the [STREET] down to the first district representative. This is an update, and there is no public input at this time. So at this time, I'm very pleased to welcome for an update on [ORGANIZATION], [ORGANIZATION], Deputy Chief of Staff."
,homeless; homelessness,"[ORGANIZATION], Deputy Chief of Staff with offices on the 14th floor of [ORGANIZATION]. DATE0 I'm here to present before you three items. So the homelessness implementation group fund allocation of homeless services and then also the final recommendation list as it relates to the homeless implementation group."
,homelessness,"So, as we've been navigating through homelessness, I want to turn your attention to this regional comparison between… That's great. Someone was just telling me [ORGANIZATION] that it… I'm going to ask everyone to mute their mics. Mr. [PERSON], you're muted, sir."
,homelessness,"I would like to turn your eye to the regional comparison of [ORGANIZATION] and [LOCATION]. As you can see, this is a point in time count. And so this tool is to help understand homelessness around the state."
,homeless; homelessness,"We had a total of 413 homeless individuals on the point in time count. And then as you can see, [ORGANIZATION],  that number has increased to 516 and so definitely want to continue to realize that homelessness is not going away and it's actually you know where those numbers are actually rising and we want to go in the opposite direction like our fellow regions that you can see here on this list."
,homelessness,"So in [ORGANIZATION], Mayor [PERSON] created [ORGANIZATION] with an outstanding group of diverse individuals and entities looking to navigate these uncertain times that we're living in and to continue to build a city that addresses our most population. And so that took [STREET] for until DATE1. And we're looking to reconvene DATE2."
,homelessness,"We really focused on issues surrounding homelessness, how we could be more efficient and effective as far as the service providers, as far as neighborhood and community support.  as well as city and county staff being a supporting cast as well in those conversations. We probably went on for [ORGANIZATION] in those conversations and then we all decided that it would be better to create subcommittees and be a little bit more laser focused on certain topics as it related to homelessness because there's so many different levels. And so within those subcommittees."
,homeless,"We divided into three groups, health and sanitation, weather amnesty and housing, as well as a more longer term item, which is permanent supportive housing. And so the reasoning behind the creation of this group was created, you know, post, after the post encampments around the city and just the news reports about around them. We really wanted to create an environment where individuals in the community could come and speak on how we could better address our homeless individuals."
,homelessness,"And then the last group was led by [ORGANIZATION]. and they did a phenomenal job in meeting [ORGANIZATION], having we split up our entirety group into those three groups. And so had roughly around, you know, seven to 10 for each group to kind of make sure we were focused and everybody had an opportunity to speak and to relay their ideas and suggestions around homelessness."
,homelessness,"So, in the first group, health and sanitation, their recommendations are as followed to create and monitor and maintain a database of all persons experiencing homelessness in our county to quantify the need for more affordable and permanent supportive housing, and that's more tailored to making sure that kind of hits on the last point there as far as having accessible  I'm sorry, my [ORGANIZATION] went away. Someone else controlling the one second here. I'll try to bring it back up."
,homeless,"So as I was saying, as it relates to the recommendation in health and sanitation, there seems to be making sure that we have ample  that we have ample housing during the pandemic so that individuals can maintain social distancing and health protocols. And so the next recommendations, we would like to study the population of people who prey on homeless individuals and develop and implement best practices to reduce the predators impact. I think this is something that we kind of talked about at the tail end of our conversations in [ORGANIZATION]."
,homeless,"We realized that there, you know, that there are a lot of activities that go on around encampments and around our homeless individuals. And so if we can better understand, if we can better understand that arena, I think we would be better off in being able to protect our neighbors here in the city. We also want to continue to maintain and monitor chemical toilets, so porta-potties."
,homeless,"I think it's very important. I think we all think it's very important. And then lastly, tracking health insurance status of all homeless individuals."
,homeless,"I think this is an important one as we're in a health pandemic, in a health crisis with [PERSON]. And so if we had a better tracking system, I think it would be well suited for our homeless individuals. Next, within the weather amnesty and housing subcommittee,  The recommendation is to continue operations at [ORGANIZATION], and those sites are [PERSON] and ORG2."
,homeless,"I know that [ORGANIZATION], we had extensive conversations around rapid testing for individuals. And then also vaccine distribution. I know that that is a conversation of note now."
,homeless,And so that's something that we're gonna continue to have conversations around to make sure that our homeless individuals are in the best service of care. We also want to make available cold weather shelter locations. This is important especially during [ORGANIZATION].
,homeless,"There's been conversations around extending the current [ORGANIZATION] program, which was funded by a private donor to [STREET] homeless individuals into motels. That initiative has been going well as of late to make sure that homeless individuals have a roof over their heads.  and getting them off the streets. And so if we can continue to extend that program, I know a lot of people in the community will be excited."
,homeless,"I know conversations around a low barrier [INSTITUTION] with partners has been a topic of interest for quite some time. And so that it's still at the forefront here within the subcommittee and with the implementation group and our community as well. And then lastly, I think one of note is partnering with security companies to make sure, as we talked about homeless individuals being predators and preyed upon, being able to make sure that we protect and serve our most vulnerable population."
,homeless,"And it had a lot of conversation within the subcommittee and looking forward to having further conversation as we look to develop and potentially establish  a trust fund, whether it be within the county or the city. Also looking to establish a homeless contractor position. This would be very helpful for us to  to make sure that we're on par with our homeless services, building that trust between homeless individuals and service providers and the community, making sure that we have enough bandwidth from a city standpoint and a community standpoint, and think this would be beneficial in its entirety."
,homeless; homelessness,"And then [DATE] here, supporting an education and advocacy campaign. We currently,  We currently support this initiative in making sure that we have public support and community buy-in as it relates to homelessness and changing the narrative around what homelessness looks like and sharing the stories of these homeless individuals. And these are our neighbors, whether people like it or not."
,homeless,"I think it's important to change that narrative and to be able to support our homeless population. So I think the education and advocacy campaign will be a great tool to utilize here in our city. And lastly, emphasize the landlord and developer participation."
,homelessness,"And so the [PERSON], the Special Care Act distribution kind of kept us afloat during the pandemic and it allowed us to do more than we normally would and so with the additional funds. And so moving towards [ORGANIZATION], that's an acronym for [PERSON], which is designed to kind of broaden the existing emergency shelters, homelessness prevention activities, as well as rapid rehousing, and then ultimately helping individuals to be stable. here in our city."
,homeless,"And so for the [ORGANIZATION] services, we allocated just over $477,000 for that program with the motels. Next, the emergency services, we were allocated $450,000 in total with what's half of that, you know, $200,000 of that  that allocation went to ORG1 for hazard pay and operations as it related to food and [ORGANIZATION] equipment. And then the next went to the 250 remaining went to the live treatment centers for hazard pay as well, and along with their operational programming there."
,homeless,the weather amnesty. We allocated funds there as well. And so within the hope with hope they were capped at 50 individuals during weather amnesty and it's still ongoing at the moment and then [ORGANIZATION].
,homelessness,"OVERALL, WE HAVE 650,000 TOTAL THAT WE'RE ALLOCATING TO OUR MOST VULNERABLE POPULATION. AND THIS IS, [ORGANIZATION], THIS IS A TENTATIVE BUDGET, BUT HOPING THAT WE CAN MOVE ON A LOT OF THESE ITEMS HERE. So next steps, you know, I think as we continue to work through our efforts and this concept of a shared ownership for both the successes and failures here in our city as it relates to homelessness, we want to continue weather amnesty."
,homelessness,"We want to continue to explore extending the [ORGANIZATION] program with the county.  again, establish and hire the city contractor position for homelessness. And then also we want to continue to – we were awarded the selection into the ORG1, ORG2, [PERSON]. This was the same institute that had development for the FAC0 homes."
,homelessness,"Also, with the education campaign, we have partnered with the with [ORGANIZATION] and their marketing class, their senior marketing class. And they are going to to create. an education marketing campaign for homelessness for our city."
,homelessness,"We definitely hope to reconvene and reconvene the implementation group. I know [ORGANIZATION] wasn't enough. We know that we're gonna be within homelessness, be at this work for a long time with homelessness."
,affordable housing,"Just want to be clear that no site or location has been identified yet but definitely open to having those conversations. And then lastly collaborating with the county on affordable housing recommendations is going to be monumental in our approach. With that, that concludes my presentation, but I will add that I'm proud to be a part of this work."
,homelessness,"You know, I think we have an outstanding group of individuals here on the call [TIME]. The community that's watching and hearing, I want to thank you all. You know, understanding that, again, that we're going to be at this work for a while.  and understanding that ending homelessness isn't gonna end [TIME]."
,homeless,"And so I just wanna thank you all and know that we're gonna continue to make progress and create an empathetic bridge of compassion to continue to navigate these uncertain times and to continue to fight to build a city that provides support and opportunity for all of those who call [ORGANIZATION] home. So thank you and happy to answer any questions that anyone might have. Thank you, Mr. [PERSON], and thank you for your presentation, but also every person that was a member of [ORGANIZATION]."
,homeless,"Please know that we are deeply appreciative of not only your commitment to serve, but also the work that you have done and you continue to do to support our homeless population. At this time, we'll go to council members. Each council member will have opportunity to ask  Two questions, I'm going to start first with the at-large council members."
,homeless,I was supportive of having such a group move forward and that that group be people who are invested already providing services for our homeless population across the city because they would know what's the best [STREET] forward. And the list that you presented certainly shows  shows that and the wonderful work that has been done so far. The one question I have is wondering about what conversations or which committee have talks about creative funding sources.
,homeless; homelessness,"And I know in the weather amnesty and housing committee, we definitely talked about different funding sources and philanthropic efforts that could be beneficial to helping our homeless population. But I will be honest and say that, you know, that we still need to continue to talk through those conversations. And homelessness is undoubtedly one of the most multifaceted and complex crisis, you know, that impacts every urban core."
,homeless,"To my knowledge, that hasn't been discussed and it's still tentative. And so I will say as it relates to the point in time count, which is done [ORGANIZATION], I think that it's, I think it's important to note over [LOCATION]  despite an increase, I do think that overall we are seeing some decreases in some areas as it relates to youth and veterans. And so I do hope that, you know, as we were anticipating or assuming an increase, hopefully that total number doesn't encompass the full population of our homeless individuals."
,homelessness,"And personally, from my description of what a low barrier shelter or intake center would look like, it would deliver housing, health,  and hope to people experiencing homelessness. And of course, having those wraparound services. So not only that those individuals who were able to be there are not only surviving, but thriving as well."
,homelessness,"I just had a couple, well, actually one question I really have. When you talked about the homelessness coordinator position, what do you think the timeline is for that? And is that just a recommendation, or do you believe that's something that moving forward is going to be needed to help manage  to help manage what the implementation group is recommending."
